Situacao,,Desatracação,DWT,IMO,SaldoTotal,Chegada,ETB,Operador,Cal.Cheg.,Tons/Dia,Mercadoria,Embarcação,Saldo,JanelaOperacional,Atracação,SaldoOperador,Prancha(t/dia),Programação,LOA,DUV,Realizado,Agência,Sentido,Berço,TipodeOperação,ETA,Cal.Saída,Desatracacao,Bordo,Status,Previsto
AO LARGO,29,,"35.850,00",9476977,,26/11/2024 12:00,,FORTESOLO,"7,30",,CLORETOS DE POTASSIO,FEDERAL YUKINA,,,,,,74939,"199,98",0530872024,,ORION,Imp,211,,26/11/2024 16:00,"5,09",,,,"6.300,000 Tons."
AO LARGO,Imp,,,26/11/2024 12:00,,,,"5,09",,,,26/11/2024 16:00,,,,,,ORION,,HARBOR,,"7,30","13.216,000 Tons.",CLORETOS DE POTASSIO,,,,,,,
AO LARGO,30,,"37.655,00",9775165,,25/11/2024 22:54,,FORTESOLO,"10,22",,CLORETO DE POTASSIO,UNI HARMONY,,,,,,74899,"179,97",0532012024,,ORION,Imp,211,,25/11/2024 23:00,"6,00",,,,"10.606,000 Tons."
AO LARGO,Imp,,,25/11/2024 22:54,,,,"6,00",,,,25/11/2024 23:00,,,,,,ORION,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"10,22","10.013,000 Tons.",CLORETO DE POTASSIO,,,,,,,
AO LARGO,31,,"87.396,00",9959773,,25/11/2024 22:36,,FOSPAR,"12,80",,FERTILIZ.MINER.QUIM.C/NITROGEN,SERENITY DIVA,,,,,,74873,"228,41",0525072024,,LACHMANN,Imp,200,,25/11/2024 22:30,"8,50",,,,"72.650,000 Tons."
AO LARGO,32,,"35.009,00",9561813,,25/11/2024 10:06,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"10,20",,MAP,LUCILIA C,,,,,,74792,"175,60",0503662024,,LBH BRASIL,Imp,209,,25/11/2024 10:06,"7,50",,,,"11.100,000 Tons."
AO LARGO,Imp,,,25/11/2024 10:06,,,,"7,50",,,,25/11/2024 10:06,,,,,,LBH BRASIL,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"10,20","11.100,000 Tons.",ADUBOS OU FERTILIZANTES C/NITR,,,,,,,
AO LARGO,Imp,,,25/11/2024 10:06,,,,"7,50",,,,25/11/2024 10:06,,,,,,LBH BRASIL,,HARBOR,,"10,20","20.900,000 Tons.",MAP,,,,,,,
AO LARGO,Imp,,,25/11/2024 10:06,,,,"7,50",,,,25/11/2024 10:06,,,,,,LBH BRASIL,,HARBOR,,"10,20","20.900,000 Tons.",ADUBOS OU FERTILIZANTES C/NITR,,,,,,,
AO LARGO,33,,"61.211,00",9919644,,24/11/2024 23:40,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"11,70",,UREIA,ROYAL,,,,,,74943,"199,90",,,ORION,Imp,211,,25/11/2024 07:00,"7,00",,,,"25.400,000 Tons."
AO LARGO,Imp,,,24/11/2024 23:40,,,,"7,00",,,,25/11/2024 07:00,,,,,,ORION,,HARBOR,,"11,70","24.600,000 Tons.",UREIA,,,,,,,
AO LARGO,34,,"57.809,00",9441415,,20/11/2024 11:50,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"12,00",,UREIA,STAR RUNNER,,,,,,74720,"188,58",0483512024,,ROCHAMAR,Imp,209,,20/11/2024 12:00,"9,00",,,,"49.500,000 Tons."
AO LARGO,35,,"76.629,00",9362231,,17/11/2024 07:18,,FOSPAR,"12,80",,FERTILIZ.MINER.QUIM.C/NITROGEN,BROAD BONNIE,,,,,,74880,"224,94",0511442024,,WORLD SHIPPING PARANA,Imp,200,,17/11/2024 07:18,"7,00",,,,"64.250,000 Tons."
AO LARGO,Imp,,,17/11/2024 07:18,,,,"7,00",,,,17/11/2024 07:18,,,,,,WORLD SHIPPING PARANA,,FOSPAR,,"12,80","64.250,000 Tons.",SULFATO DE AMONIO,,,,,,,
ESPERADOS,0,,"1.441,20",9502518,,,,APPA,"5,00",,PASSAGEIROS,L AUSTRAL,,,,,,74950,"142,10",,,ISS MARINE,Imp,205,,22/03/2027 06:00,"5,00",,,,"0,000 Tons."
ESPERADOS,1,,"2.980,00",9192179,,,,APPA,"5,70",,PASSAGEIROS,SILVER WHISPER,,,,,,72780,"186,00",,,STAR SHIP AGENCIA MARITIMA,Exp,205,,20/02/2026 06:00,"5,70",,,,"0,000 Tons."
ESPERADOS,2,,"2.980,00",9192179,,,,APPA,"6,50",,PASSAGEIROS,SILVER WHISPER,,,,,,70607,"186,00",,,STAR SHIP AGENCIA MARITIMA,Imp/Exp,205,,08/02/2026 06:00,"6,50",,,,"0,000 Tons."
ESPERADOS,3,,"2.980,00",9192179,,,,APPA,"6,50",,PASSAGEIROS,SILVER WHISPER,,,,,,70604,"186,00",,,STAR SHIP AGENCIA MARITIMA,Imp/Exp,205,,22/12/2025 06:00,"6,50",,,,"0,000 Tons."
ESPERADOS,4,,"22.448,50",9243667,,,,APPA,"6,50",,PASSAGEIROS,CRYSTAL SERENITY,,,,,,70170,"250,00",,,STAR SHIP AGENCIA MARITIMA,Imp/Exp,205,,27/02/2025 06:00,"6,50",,,,"0,000 Tons."
ESPERADOS,5,,"6.807,00",8919245,,,,APPA,"7,80",,PASSAGEIROS,VASCO DA GAMA,,,,,,67720,"219,14",,,STAR SHIP AGENCIA MARITIMA,Imp/Exp,205,,18/02/2025 08:00,"7,80",,,,"0,000 Tons."
ESPERADOS,6,,"40.478,00",9243174,,,,TCP (SAT),"12,00",,CONTÊINERES (CONTENTORES) INCL,MIRADOR EXPRESS,,,,,,75087,"243,40",0558952024,,ROCHAMAR,Imp/Exp,216,,03/02/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,7,,"8.707,00",9210141,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"6,80",,PASSAGEIROS,MSC ARMONIA,,,,,,73601,"274,90",,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,Imp/Exp,205,,31/01/2025 06:00,"6,80",,,,"0,000 Tons."
ESPERADOS,8,,"48.044,00",9612791,,,,TCP (NCO),"12,00",,CONTÊINERES (CONTENTORES) INCL,NC BRAVO,,,,,,75092,"223,91",0558942024,,ROCHAMAR,Imp/Exp,215,,30/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,9,,"111.650,00",9723253,,,,TCP (NBN),"12,00",,CONTÊINERES (CONTENTORES) INCL,BREMERHAVEN EXPRESS,,,,,,75086,"299,98",0558922024,,ROCHAMAR,Imp/Exp,218,,28/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,10,,"51.060,00",9227273,,,,TCP (SAT),"12,00",,CONTÊINERES (CONTENTORES) INCL,IRENES RESOLVE,,,,,,75085,"257,38",,,ROCHAMAR,Imp/Exp,216,,27/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,11,,"79.256,00",9719874,,,,TCP (GS1),"12,00",,CONTÊINERES (CONTENTORES) INCL,CAPE PIONEER,,,,,,75084,"270,90",0558872024,,ROCHAMAR,Imp/Exp,215,,24/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,12,,"8.707,00",9210141,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"6,80",,PASSAGEIROS,MSC ARMONIA,,,,,,73600,"274,90",,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,Imp/Exp,205,,24/01/2025 06:00,"6,80",,,,"0,000 Tons."
ESPERADOS,13,,"17.406,00",9372810,,,,MARCON,"8,00",,VEICULOS,POLARIS LEADER,,,,,,74636,"179,90",,,LACHMANN,Imp/Exp,219,,24/01/2025 06:00,"8,00",,,,650 Movs.
ESPERADOS,14,,"116.933,00",9687564,,,,TCP (WME),"12,00",,CONTÊINERES (CONTENTORES) INCL,CORCOVADO,,,,,,75083,"299,90",0558842024,,ROCHAMAR,Imp/Exp,216,,23/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,15,,"134.931,00",9777175,,,,TCP (AS2),"12,00",,CONTÊINERES (CONTENTORES) INCL,CAPE ARTEMISIO,,,,,,75082,"330,02",0558832024,,ROCHAMAR,Imp/Exp,218,,23/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,16,,"48.044,00",9612765,,,,TCP (NCO),"12,00",,CONTÊINERES (CONTENTORES) INCL,NC BREDA,,,,,,75091,"224,00",0558862024,,ROCHAMAR,Imp/Exp,215,,23/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,17,,"38.605,00",9953561,,,,TCP (SAT),"11,00",,CONTÊINERES (CONTENTORES) INCL,IRENES RULE,,,,,,75081,"185,97",0558782024,,ROCHAMAR,Imp/Exp,216,,20/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,18,,"47.818,00",9232802,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"9,00",,PASTA QUIM.MADEIRA DE N/CONIF.,CEDAR ARROW,,,,,,75133,"189,95",,,SEATRADE SERVICOS PORTUARIOS E LOGISTICOS,Exp,202,,17/01/2025 08:00,"10,70",,,,"5.000,000 Tons."
ESPERADOS,19,,"8.707,00",9210141,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"6,80",,PASSAGEIROS,MSC ARMONIA,,,,,,73599,"274,90",,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,Imp/Exp,205,,17/01/2025 06:00,"6,80",,,,"0,000 Tons."
ESPERADOS,20,,"48.039,00",9612789,,,,TCP (NCO),"12,00",,CONTÊINERES (CONTENTORES) INCL,NC BRISA,,,,,,75089,"223,96",0558762024,,ROCHAMAR,Imp/Exp,215,,16/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,21,,"48.039,00",9612789,,,,TCP (NCO),"12,00",,CONTÊINERES (CONTENTORES) INCL,NC BRISA,,,,,,74798,"223,96",0499652024,,ROCHAMAR,Imp/Exp,215,,16/01/2025 11:00,"10,00",,,,1.050 Movs.
ESPERADOS,22,,"38.605,00",9953391,,,,TCP (SAT),"12,00",,CONTÊINERES (CONTENTORES) INCL,IRENES WISDOM,,,,,,75080,"185,97",0558742024,,ROCHAMAR,Imp/Exp,216,,13/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,23,,"19.998,00",9477531,,,,CATTALINI,"9,71",,SODA CÁUSTICA,SHAMROCK MERCURY,,,,,,75097,"145,53",0558972024,,ROCHAMAR,Imp,143,,13/01/2025 08:00,"7,50",,,,"10.000,000 Tons."
ESPERADOS,24,,"134.931,00",9777175,,,,TCP (AS2),"12,00",,CONTÊINERES (CONTENTORES) INCL,CAPE ARTEMISIO,,,,,,75079,"330,02",,,ROCHAMAR,Imp/Exp,218,,12/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,25,,"146.036,00",9938274,,,,TCP (AS2),"11,50",,CONTÊINERES (CONTENTORES) INCL,CMA CGM SAO PAULO,,,,,,75109,"336,00",0561182024,,UNIMAR,Imp/Exp,216,,12/01/2025 07:00,"11,50",,,,500 Movs.
ESPERADOS,26,,"132.678,00",9793935,,,,TCP (AS2),"12,00",,CONTÊINERES (CONTENTORES) INCL,NAVEGANTES EXPRESS,,,,,,75077,"330,00",0558702024,,ROCHAMAR,Imp/Exp,218,,10/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,27,,"8.707,00",9210141,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"6,80",,PASSAGEIROS,MSC ARMONIA,,,,,,73598,"274,90",,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,Imp/Exp,205,,10/01/2025 06:00,"6,80",,,,"0,000 Tons."
ESPERADOS,28,,"48.038,00",9612777,,,,TCP (NCO),"12,00",,CONTÊINERES (CONTENTORES) INCL,NC BRUMA,,,,,,75088,"223,91",0558672024,,ROCHAMAR,Imp/Exp,215,,09/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,29,,"63.452,00",9790842,,,,FORTESOLO,"7,40",,MAP,BAHRI HAYA,,,,,,74949,"199,99",,,AMART,Imp,211,,08/01/2025 10:00,"5,60",,,,"10.000,000 Tons."
ESPERADOS,30,,"50.792,00",9603790,,,,TCP,"9,00",,OUTROS SECADORES,STAR LOEN,,,,,,75053,"204,38",,,SEATRADE SERVICOS PORTUARIOS E LOGISTICOS,Imp,215,,08/01/2025 08:00,"10,70",,,,"3.000,000 Tons."
ESPERADOS,31,,"116.931,60",9687576,,,,TCP (NWC),"12,00",,CONTÊINERES (CONTENTORES) INCL,CISNES,,,,,,75076,"299,90",0558572024,,ROCHAMAR,Imp/Exp,216,,07/01/2025 19:00,"10,00",,,,1.050 Movs.
ESPERADOS,32,,"50.620,00",9834155,,,,CATTALINI,"8,00",,METANOL,CASTARA,,,,,,75124,"186,07",,,ROCHAMAR,Imp,141,,06/01/2025 17:07,"6,50",,,,"26.000,000 Tons."
ESPERADOS,33,,"22.062,00",9371775,,,,CATTALINI,"8,00",,METANOL,HUEMUL,,,,,,75132,"161,12",,,ROCHAMAR,Imp,141,,06/01/2025 14:03,"6,50",,,,"7.000,000 Tons."
ESPERADOS,34,,"42.102,00",9309277,,,,TCP (SAT),"12,00",,CONTÊINERES (CONTENTORES) INCL,MONA LISA,,,,,,74807,"230,90",0499902024,,ROCHAMAR,Imp/Exp,216,,06/01/2025 10:00,"10,00",,,,1.050 Movs.
ESPERADOS,35,,"8.707,00",9210141,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"6,80",,PASSAGEIROS,MSC ARMONIA,,,,,,73597,"274,90",,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,Imp/Exp,205,,03/01/2025 06:00,"6,80",,,,"0,000 Tons."
ESPERADOS,36,,"82.204,00",9789867,,,,FOSPAR,"11,55",,SULFATO DE AMONIO,BBG INTEGRITY,,,,,,75129,"228,99",0564492024,,ORION,Imp,200,,02/01/2025 15:00,"7,25",,,,"58.671,000 Tons."
ESPERADOS,37,,"48.044,00",9612791,,,,TCP (NCO),"12,00",,CONTÊINERES (CONTENTORES) INCL,NC BRAVO,,,,,,74805,"223,91",0499862024,,ROCHAMAR,Imp/Exp,215,,02/01/2025 11:00,"10,00",,,,1.050 Movs.
ESPERADOS,38,,"81.612,00",9836414,,,,TIBAGI,"7,26",,SOJA,NOVA CAELI,,,,,,75114,"228,99",0568792024,,WILSON SONS,Exp,213,,02/01/2025 07:00,"13,10",,,,"68.500,000 Tons."
ESPERADOS,39,,"132.343,00",9937323,,,,TCP (IPS),"11,00",,CONTÊINERES (CONTENTORES) INCL,ONE AMAZON,,,,,,75059,"329,86",0553532024,,WILSON SONS,Imp/Exp,216,,02/01/2025 06:00,"10,90",,,,500 Movs.
ESPERADOS,40,,"6.513,00",9580182,,,,TRANSPETRO PGUA,"7,90",,GLP,EPIC BEATA,,,,,,75147,"112,50",,,LACHMANN,Imp,142,,01/01/2025 05:00,"6,50",,,,"3.500,000 Tons."
ESPERADOS,41,,"84.769,00",9796195,,,,FOSPAR,"12,00",,SULFATO DE AMONIO,IONIC KALLIRHOE,,,,,,74988,"229,95",,,ROCHAMAR,Imp,200,,31/12/2024 08:00,"9,50",,,,"69.400,000 Tons."
ESPERADOS,42,,"32.267,00",9217618,,,,MARCON,"4,50",,OUTS.ACUCARES,FORZA ROMA,,,,,,75146,"171,60",,,MARCON,Exp,202,,31/12/2024 07:00,"9,80",,,,"27.588,000 Tons."
ESPERADOS,43,,"20.831,00",9442548,,,,CATTALINI,"10,00",,SODA CÁUSTICA,PVT CLARA,,,,,,75150,"147,83",,,LACHMANN,Imp,143,,30/12/2024 12:00,"9,00",,,,"5.000,000 Tons."
ESPERADOS,44,,"71.407,00",9531909,,,,TCP (NBR),"10,50",,CONTÊINERES (CONTENTORES) INCL,HANS SCHULTE,,,,,,75137,"275,07",0566192024,,UNIMAR,Imp/Exp,216,,30/12/2024 11:00,"11,00",,,,500 Movs.
ESPERADOS,45,,"28.451,00",9470818,,,,MARCON,"5,10",,OUTS.ACUCARES,AMALEA,,,,,,75103,"169,26",,,MARCON,Exp,202,,30/12/2024 07:00,"9,20",,,,"25.080,000 Tons."
ESPERADOS,46,,"26.169,00",9246592,,,,TCP,"8,50",,OUTS.CARREGADORAS/PAS-CARREGAD,GRANDE FRANCIA,,,,,,73275,"196,61",,,LACHMANN,Imp/Exp,215,,30/12/2024 01:00,"8,00",,,,"36.000,000 Tons."
ESPERADOS,47,,"25.914,00",9989194,,,,CATTALINI,"8,00",,ALIMET,BOW LYNX,,,,,,75096,"156,53",,,GRANEL,Imp,143,,29/12/2024 19:00,"6,50",,,,"3.000,000 Tons."
ESPERADOS,48,,"137.022,00",9936513,,,,TCP (AS2),"11,50",,CONTÊINERES (CONTENTORES) INCL,ZIM THAILAND,,,,,,75107,"333,95",,,ZIM DO BRASIL,Imp/Exp,218,,29/12/2024 17:00,"12,00",,,,800 Movs.
ESPERADOS,49,,"82.026,00",9897573,,,,ALPHAMAR PORT SERVICES,"6,80",,FARELO DE SOJA,ADMIRAL REIWA,,,,,,75138,"228,96",0568102024,,ALPHAMAR,Exp,213,,29/12/2024 10:00,"13,10",,,,"63.000,000 Tons."
ESPERADOS,50,,"14.394,00",9192959,,,,MARCON,"6,00",,AUTOMÓVEIS DE PASSAGEIROS E OU,RSC CARIBE,,,,,,75031,"195,10",,,MARCON,Imp/Exp,215,,29/12/2024 07:00,"7,20",,,,"1.600,000 Tons."
ESPERADOS,51,,"38.506,00",9727560,,,,CATTALINI,"10,10",,OUTROS OLEOS DE DENDE,HAFNIA AZURITE,,,,,,75040,"184,06",,,CARGONAVE,Imp,143,,28/12/2024 22:00,"12,80",,,,"18.304,000 Tons."
ESPERADOS,52,,"19.980,00",9900461,,,,CATTALINI,"9,75",,METANOL,ESTEEM SANGO,,,,,,75067,"146,30",0555902024,,ROCHAMAR,Imp,141,,28/12/2024 14:40,"8,50",,,,"17.000,000 Tons."
ESPERADOS,53,,"132.430,70",9786724,,,,TCP (AS2),"12,00",,CONTÊINERES (CONTENTORES) INCL,PARANAGUA EXPRESS,,,,,,74799,"330,00",0499682024,,ROCHAMAR,Imp/Exp,218,,28/12/2024 11:00,"10,00",,,,1.050 Movs.
ESPERADOS,54,,"119.397,50",9630420,,,,TCP (AS2),"12,00",,CONTÊINERES (CONTENTORES) INCL,XIAMEN EXPRESS,,,,,,74832,"336,00",0505752024,,ROCHAMAR,Imp/Exp,218,,28/12/2024 08:00,"10,00",,,,1.050 Movs.
ESPERADOS,55,,"103.723,00",9604122,,,,TCP (ESA),"10,60",,CONTÊINERES (CONTENTORES) INCL,EVER LOTUS,,,,,,75134,"334,98",,,GRIEG,Imp/Exp,216,,28/12/2024 07:00,"10,90",,,,750 Movs.
ESPERADOS,56,,"80.551,00",9629457,,,,TCP (NBR),"11,00",,CONTÊINERES (CONTENTORES) INCL,CARDIFF,,,,,,75122,"270,90",,,UNIMAR,Imp/Exp,216,,28/12/2024 01:00,"11,00",,,,650 Movs.
ESPERADOS,57,,"35.063,70",9580106,,,,HARBOR,"9,80",,NITRATO DE AMONIO,UNION GROOVE,,,,,,75019,"180,00",0568542024,,WORLD SHIPPING PARANA,Imp,209,,27/12/2024 19:00,"6,40",,,,"12.857,000 Tons."
ESPERADOS,58,,"81.703,00",9836476,,,,FOSPAR,"12,00",,SULFATO DE AMONIO,CRIMSON AMBER,,,,,,75128,"228,99",0564962024,,ORION,Imp,200,,27/12/2024 18:00,"6,20",,,,"67.750,000 Tons."
ESPERADOS,59,,"80.108,00",9323508,,,,TCP (FIL),"10,50",,CONTÊINERES (CONTENTORES) INCL,HYUNDAI COLOMBO,,,,,,75142,"303,83",0567792024,,UNIMAR,Imp/Exp,216,,27/12/2024 11:00,"11,00",,,,350 Movs.
ESPERADOS,60,,"85.891,00",9225653,,,,TCP (NBR),"10,50",,CONTÊINERES (CONTENTORES) INCL,ALESSIA,,,,,,75069,"300,00",0556542024,,UNIMAR,Imp/Exp,216,,27/12/2024 11:00,"11,00",,,,650 Movs.
ESPERADOS,61,,"64.723,00",9815965,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"10,50",,CLORETO DE POTASSIO,MAROUDIO,,,,,,75105,"199,95",,,AMART,Imp,211,,27/12/2024 10:00,"8,00",,,,"31.060,000 Tons."
ESPERADOS,62,,"39.070,00",9723289,,,,CBL - COMPANHIA BRASILEIRA DE LOGÍSTICA,"10,80",,OLEO DIESEL,MINERVA LEO,,,,,,75149,"184,27",,,LACHMANN,Imp,142,,27/12/2024 08:00,"8,00",,,,"15.000,000 Tons."
ESPERADOS,Imp,,"9.218,000 Tons.",,,,,,,,,27/12/2024 08:00,,,,,,LACHMANN,,CATTALINI,,"8,00","10,80",OLEO DIESEL,,,,,,,
ESPERADOS,63,,"50.748,00",9593878,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"9,00",,PASTA QUIM.MADEIRA DE N/CONIF.,STAR LINDESNES,,,,,,75041,"204,36",,,SEATRADE SERVICOS PORTUARIOS E LOGISTICOS,Exp,202,,27/12/2024 08:00,"10,70",,,,"33.000,000 Tons."
ESPERADOS,64,,"8.707,00",9210141,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"6,80",,PASSAGEIROS,MSC ARMONIA,,,,,,73596,"274,90",,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,Imp/Exp,205,,27/12/2024 06:00,"6,80",,,,"0,000 Tons."
ESPERADOS,65,,"52.219,40",9312573,,,,TCP (LXN),"10,50",,CONTÊINERES (CONTENTORES) INCL,XIN WEI HAI,,,,,,75095,"263,23",0558592024,,UNIMAR,Imp/Exp,215,,27/12/2024 02:00,"10,50",,,,500 Movs.
ESPERADOS,66,,"32.946,00",9310721,,,,PORTO PONTA DO FELIX S/A,"7,80",,MALTE,CALLIO,,,,,,75118,"177,00",,,BPA,Imp,113,,26/12/2024 13:00,"7,00",,,,"6.000,000 Tons."
ESPERADOS,67,,"37.518,00",9214317,,,,CATTALINI,"9,00",,"SEBO BOVINO,EM BRUTO",BOW CHAIN,,,,,,75136,"183,10",0565952024,,ROCHAMAR,Exp,143,,26/12/2024 12:00,"7,00",,,,"4.900,000 Tons."
ESPERADOS,68,,"48.044,00",9612765,,,,TCP (NCO),"12,00",,CONTÊINERES (CONTENTORES) INCL,NC BREDA,,,,,,74800,"224,00",0499742024,,ROCHAMAR,Imp/Exp,215,,26/12/2024 11:00,"10,00",,,,1.050 Movs.
ESPERADOS,69,,"132.678,00",9793935,,,,TCP (AS2),"12,00",,CONTÊINERES (CONTENTORES) INCL,NAVEGANTES EXPRESS,,,,,,74803,"330,00",0499802024,,ROCHAMAR,Imp/Exp,218,,26/12/2024 11:00,"10,00",,,,1.050 Movs.
ESPERADOS,70,,"63.292,00",9722041,,,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"11,70",,UREIA,JABAL AR RAWDAH,,,,,,75145,"199,90",,,WILSON SONS,Imp,211,,26/12/2024 07:00,"7,00",,,,"49.500,000 Tons."
